phrase,class
Smith's comparative study  found that  ,Reference to single investigations in the past  researcher prominent  
Jones's comprehensive review concluded that   ,Reference to single investigations in the past  researcher prominent  
Brown's  model of X assumes three main  ,Reference to single investigations in the past  researcher prominent  
Smith's cross country analysis showed that  ,Reference to single investigations in the past  researcher prominent  
Smith showed that reducing X to 190oC decreased,Reference to single investigations in the past  researcher prominent  
Smith demonstrated that when the maximum temperature is exceeded  ,Reference to single investigations in the past  researcher prominent  
Smith found that as levels of literacy and education of the population rise  ,Reference to single investigations in the past  researcher prominent  
To examine this issue…Smith et al.  carried out a series of  experiments ,Reference to single investigations in the past  researcher prominent  
To determine whether the…Smith et al.   carried out a series of  experiments ,Reference to single investigations in the past  researcher prominent  
"To compare the X with Y, we… Smith et al.   carried out a series of  experiments ",Reference to single investigations in the past  researcher prominent  
To further investigate the role of Smith et al.  carried out a series of  experiments ,Reference to single investigations in the past  researcher prominent  
To further examine the role ofSmith et al.  carried out a series of  experiments ,Reference to single investigations in the past  researcher prominent  
 Jones et al. compared the rate of   ,Reference to single investigations in the past  researcher prominent  
 Jones et al. labelled these subsets as  ,Reference to single investigations in the past  researcher prominent  
 Jones et al. measured both components of the  ,Reference to single investigations in the past  researcher prominent  
 Jones et al. used a survey to assess the various  ,Reference to single investigations in the past  researcher prominent  
 Jones et al. identified parents of disabled children as  ,Reference to single investigations in the past  researcher prominent  
 Jones et al. set up a series of virtual experiments using   ,Reference to single investigations in the past  researcher prominent  
 Jones et al. examined the flow of international students  ,Reference to single investigations in the past  researcher prominent  
 Jones et al. carried out a number of investigations into the  ,Reference to single investigations in the past  researcher prominent  
 Jones et al. studied the effects of X on unprotected nerve cells. ,Reference to single investigations in the past  researcher prominent  
 Jones et al. analysed the data from 72 countries and concluded that  ,Reference to single investigations in the past  researcher prominent  
 Jones et al. interviewed 250 undergraduate students using semi structured  ,Reference to single investigations in the past  researcher prominent  
 Jones et al. performed a similar series of experiments in the 1960s to show that  ,Reference to single investigations in the past  researcher prominent  
 Jones et al. reviewed the literature from the period and found little evidence for this  ,Reference to single investigations in the past  researcher prominent  
 Jones et al. conducted a series of trials in which he mixed X with different quantities of  ,Reference to single investigations in the past  researcher prominent  
 Jones et al. investigated the differential impact of formal and non formal education on  ,Reference to single investigations in the past  researcher prominent  
One longitudinal study found that   ,Reference to single investigations in the past: investigation prominent  
A seminal study in this area is the work of  ,Reference to single investigations in the past: investigation prominent  
One study by Smith  2014  examined the trend in  ,Reference to single investigations in the past: investigation prominent  
A recent study by Smith and Jones  2012  involved  ,Reference to single investigations in the past: investigation prominent  
A qualitative study by Smith  2003  described how   ,Reference to single investigations in the past: investigation prominent  
A recent systematic literature review concluded that   ,Reference to single investigations in the past: investigation prominent  
A longitudinal study of X by Smith  2012  reports that  ,Reference to single investigations in the past: investigation prominent  
Preliminary work on X was undertaken by Abdul Karim  1992 . ,Reference to single investigations in the past: investigation prominent  
"A key study comparing X and Y is that of Smith  2010 , in which  ",Reference to single investigations in the past: investigation prominent  
The first systematic study of X was reported by Patel et al. in 1986.  ,Reference to single investigations in the past: investigation prominent  
Detailed examination of X by Smith and Patel  1961  showed that  ,Reference to single investigations in the past: investigation prominent  
Analysis of the genes involved in X was first carried out by Smith et al.  1983 . ,Reference to single investigations in the past: investigation prominent  
A significant analysis and discussion on the subject was presented by Smith  1988 . ,Reference to single investigations in the past: investigation prominent  
The study of the structural behaviour of X was first carried out by Rao et al.  1986 . ,Reference to single investigations in the past: investigation prominent  
"A small scale study by Smith  2012  reached different conclusions, finding no increase in  ",Reference to single investigations in the past: investigation prominent  
The study by Jones  1990  offers probably the most comprehensive empirical analysis of   ,Reference to single investigations in the past: investigation prominent  
"In an analysis of X, Smith et al.  2012  found  ",Reference to single investigations in the past: investigation prominent  
"In a follow up study, Smith et al.  2009  found that   ",Reference to single investigations in the past: investigation prominent  
"In an investigation into X, Smith et al.  2012  found  ",Reference to single investigations in the past: investigation prominent  
"In a study investigating X, Smith  2004  reported that   ",Reference to single investigations in the past: investigation prominent  
"In a comprehensive study of X, Jones  2001  found that   ",Reference to single investigations in the past: investigation prominent  
"In a study conducted by Smith  1978 , it was shown that   ",Reference to single investigations in the past: investigation prominent  
"In studies of rats given X, Smith and colleagues found that   ",Reference to single investigations in the past: investigation prominent  
"In a study which set out to determine X, Smith  2012  found that  ",Reference to single investigations in the past: investigation prominent  
"In a randomised controlled study of X, Smith  2012  reported that  ",Reference to single investigations in the past: investigation prominent  
"In another major study, Zhao  1974  found that just over half of the  ",Reference to single investigations in the past: investigation prominent  
"In a recent cross sectional study, Smith  2006b  investigated whether   ",Reference to single investigations in the past: investigation prominent  
"In a large longitudinal study, Smith et al.  2012  investigated the incidence of X in Y. ",Reference to single investigations in the past: investigation prominent  
"In one well known recent experiment, limits on X were found to be   Al Masry, 2013  ",Reference to single investigations in the past: investigation prominent  
"X, Y and Z are closely linked  Smith , 2008  ",Reference to single investigations in the past: research topic prominent  
"To determine the effects of X, Zhao et al.  2005  compared  ",Reference to single investigations in the past: research topic prominent  
"X appears to be positively related to both Y and Z   Smith , 2007  ",Reference to single investigations in the past: research topic prominent  
"X was originally isolated from Y in a soil sample from   Wang et al., 1952 . ",Reference to single investigations in the past: research topic prominent  
The electronic spectroscopy of X was first studied by Smith and Jones in 1970. ,Reference to single investigations in the past: research topic prominent  
X formed the central focus of a study by Smith  2002  in which the author found  ,Reference to single investigations in the past: research topic prominent  
"X was first demonstrated experimentally by Pavlov  Smith, 2002 . In his seminal study  ",Reference to single investigations in the past: research topic prominent  
The acid catalyzed condensation reaction between X and Y was first reported by Smith in 1872 ,Reference to single investigations in the past: research topic prominent  
"To better understand the mechanisms of X and its effects, Al Masry  2013  analysed the   ",Reference to single investigations in the past: research topic prominent  
The way in which the X gene is regulated was studied extensively by Ho and colleagues ,Reference to single investigations in the past: research topic prominent  
"In Chapter 2, Smith provides us with a number of important  ",Reference to what other writers do in their text  author prominent 
"In the subsequent chapter, Smith examines the extent to which  ",Reference to what other writers do in their text  author prominent 
"By drawing on the concept of X, Smith has been able to show that  ",Reference to what other writers do in their text  author prominent 
"Some analysts  e.g. Carnoy, 2002  have attempted to draw fine distinctions between  ",Reference to what other writers do in their text  author prominent 
"Drawing on an extensive range of sources, the authors set out the different ways in which  ",Reference to what other writers do in their text  author prominent 
"Other authors  see Harbison, 2003  Kaplan, 2004  question the usefulness of such an approach. ",Reference to what other writers do in their text  author prominent 
"In her review of , Smith  identifies five characteristics of  ",Reference to what other writers do in their text  author prominent 
"In her major study, Smith  identifies five characteristics of  ",Reference to what other writers do in their text  author prominent 
"In her case study of  , Smith  identifies five characteristics of  ",Reference to what other writers do in their text  author prominent 
"In her introduction to , ",Reference to what other writers do in their text  author prominent 
"In her seminal article, Smith  identifies five characteristics of  ",Reference to what other writers do in their text  author prominent 
"In her classic critique of , Smith  identifies five characteristics of  ",Reference to what other writers do in their text  author prominent 
"In her interesting analysis of  , Smith  identifies five characteristics of  ",Reference to what other writers do in their text  author prominent 
Smith  identifies five characteristics of  Smith  identifies five characteristics of  ,Reference to what other writers do in their text  author prominent 
Smith stresses the role played by   ,Reference to what other writers do in their text  author prominent 
Smith draws a distinction between   ,Reference to what other writers do in their text  author prominent 
Smith emphasises the importance of    ,Reference to what other writers do in their text  author prominent 
Smith challenges the misconception that   ,Reference to what other writers do in their text  author prominent 
Smith pinpoints a number of similarities between   ,Reference to what other writers do in their text  author prominent 
"Smith identifies X, Y, and Z as the major causes of  ",Reference to what other writers do in their text  author prominent 
Smith draws on an extensive range of sources to assess  ,Reference to what other writers do in their text  author prominent 
Smith highlights the need to break the link between  X and Y. ,Reference to what other writers do in their text  author prominent 
Smith uses examples of these various techniques as evidence that  ,Reference to what other writers do in their text  author prominent 
Smith mentions the special situation of Singapore as an example of  ,Reference to what other writers do in their text  author prominent 
Smith questions whether mainstream schools are the best environment for  ,Reference to what other writers do in their text  author prominent 
Smith draws our attention to distinctive categories of X often observed in  ,Reference to what other writers do in their text  author prominent 
Smith considers whether countries work well on cross border issues such as  ,Reference to what other writers do in their text  author prominent 
Smith discusses the challenges and strategies for facilitating and promoting  ,Reference to what other writers do in their text  author prominent 
Smith provides in depth analysis of the work of Aristotle showing its relevance to  ,Reference to what other writers do in their text  author prominent 
"Smith defines evidence based medicine as the conscious, explicit and judicious use of  ",Reference to what other writers do in their text  author prominent 
Smith lists three reasons why the English language has become so dominant. These are   ,Reference to what other writers do in their text  author prominent 
Smith traces the development of Japanese history and philosophy during the 19th century. ,Reference to what other writers do in their text  author prominent 
Smith draws on the work of Jones  who suggested that   ,Referring to secondary sources 
"Building on the work of Jones, Smith argues that   ",Referring to secondary sources 
Smith revisits and updates the Jones model of X by   ,Referring to secondary sources 
The view of that X  is supported by Smith  who draws on Jones' comparison of   ,Referring to secondary sources 
"As argued by Smith , X is far more cost effective, and therefore  ",Reference to another writer s ideas or position  author prominent 
"According to Smith, preventative medicine is far more cost effective, and therefore  ",Reference to another writer s ideas or position  author prominent 
"Smith   claims thatpreventative medicine is far more cost effective, and ",Reference to another writer s ideas or position  author prominent 
Smith   argues that therefore better adapted to the developing world. ,Reference to another writer s ideas or position  author prominent 
"Smith   maintains that preventative medicine is far more cost effective, and ",Reference to another writer s ideas or position  author prominent 
Smith   concludes that therefore better adapted to the developing world. ,Reference to another writer s ideas or position  author prominent 
"Smith   suggests that preventative medicine is far more cost effective, and ",Reference to another writer s ideas or position  author prominent 
Smith   points out that therefore better adapted to the developing world. ,Reference to another writer s ideas or position  author prominent 
Smith   offers an explanatory theory for each type of  . ,Reference to another writer s ideas or position  author prominent 
Smith   argues for an explanatory theory for each type of  . ,Reference to another writer s ideas or position  author prominent 
Smith   proposes an explanatory theory for each type of  . ,Reference to another writer s ideas or position  author prominent 
Smith   suggests an explanatory theory for each type of  . ,Reference to another writer s ideas or position  author prominent 
"Similarly, Nicoladis found that X  ",Synthesising sources  supporting 
"In the same vein, Smith in his book XYZ notes  ",Synthesising sources  supporting 
This view is supported by Jones  who writes that  ,Synthesising sources  supporting 
Smith argues that her data support X's  view that  ,Synthesising sources  supporting 
Al Masry s  1986  work on X is complemented by X's  study of  ,Synthesising sources  supporting 
Almost every paper that has been written on X includes a section relating to  ,Synthesising sources  supporting 
"P argues that X. Similarly, Y  asserts that  ",Synthesising sources  supporting 
"P argues that X. Likewise, Y holds the view that  ",Synthesising sources  supporting 
"P argues that X. In the same vein, X  in his book Y notes  ",Synthesising sources  supporting 
"P sees X as Y. Similarly, Y  asserts that  ",Synthesising sources  supporting 
"P sees X as  Likewise, Y holds the view that  ",Synthesising sources  supporting 
"P  sees X as  In the same vein, P in his book Y notes  ",Synthesising sources  supporting 
Other studies have concluded that   ,Synthesising sources: contrasting 
"Unlike P, P argues that  ",Synthesising sources: contrasting 
"In contrast to P, P  2013  argues that  ",Synthesising sources: contrasting 
A broader perspective has been adopted by P who argues that  ,Synthesising sources: contrasting 
"Contrary to previously published studies, P et al. demonstrated the efficacy of  ",Synthesising sources: contrasting 
"Conversely, P reported no significant difference in mortality between X and Y. ",Synthesising sources: contrasting 
"P presents an X account, whilst P ",Synthesising sources: contrasting 
"While P  focuses on X,  P is more concerned with  ",Synthesising sources: contrasting 
Some writers have attempted to draw fine distinctions between X. Others question the usefulness of Y.,Synthesising sources: contrasting 
Some authors have mainly been interested in questions concerning X. Others have highlighted the relevance of   ,Synthesising sources: contrasting 
"Whilst Smith identifies X as the principal dimension of Y, P has taken a different approach by focusing on   ",Synthesising sources: contrasting 
"Much of the available literature on X deals with the question of X. However,  P  is much more concerned with…",Contrasting sources with  however  for emphasis 
"According to some studies, X  is represented  as X. However, others propose Y.",Contrasting sources with  however  for emphasis 
"P found that X accounted for approximately 30  of Y. Other researchers, however, who have looked at X, have found Y.",Contrasting sources with  however  for emphasis 
"P  reports that Y.  Jennings'  study of Y, however,  found little evidence of  Y.",Contrasting sources with  however  for emphasis 
"Commenting on X, P argues:'… … …'",Some ways of introducing quotations 
As P states:'… … '.,Some ways of introducing quotations 
As P argues: '… … '.,Some ways of introducing quotations 
"In the final part of the X, P writes:'… … '.   ",Some ways of introducing quotations 
P concludes: '… … …'.,Some ways of introducing quotations 
As P  notes:'… … '.,Some ways of introducing quotations 
As P  argues:'… … '.,Some ways of introducing quotations 
As P  writes:'… … '.,Some ways of introducing quotations 
As P  observes:'… … '.,Some ways of introducing quotations 
As P  points out:'… … '.,Some ways of introducing quotations 
As P  reminds us:'… … '.,Some ways of introducing quotations 
"Together, these studies indicate that   ",Summarising the studies reviewed 
"Overall, these studies highlight the need for  ",Summarising the studies reviewed 
"Considering all of this evidence, it seems that  ",Summarising the studies reviewed 
"Collectively, these studies outline a critical role for  ",Summarising the studies reviewed 
The evidence presented in this section suggests that  ,Summarising the studies reviewed 
The studies presented thus far provide evidence that  ,Summarising the studies reviewed 
"Taken together, these studies support the notion that   ",Summarising the studies reviewed 
"Overall, there seems to be some evidence to indicate that  ",Summarising the studies reviewed 
Together these studies provide important insights into the  ,Summarising the studies reviewed 
All of the studies reviewed here support the hypothesis that    ,Summarising the studies reviewed 
Two important themes emerge from the studies discussed so far  ,Summarising the studies reviewed 
"However, such studies remain narrow in focus dealing only with   ",Summarising the studies reviewed 
The evidence reviewed here seems to suggest a pertinent role for   ,Summarising the studies reviewed 
These studies clearly indicate that there is a relationship between   ,Summarising the studies reviewed 
"In view of all that has been mentioned so far, one may suppose that  ",Summarising the studies reviewed 
There remain several aspects of X about which relatively little is known. ,Summarising the studies reviewed 
"Overall, these studies suggest that   ",Summarising the studies reviewed 
"Overall, these studies suggest the efficacy of   ",Summarising the studies reviewed 
"Overall, these studies suggest an inverse association between   ",Summarising the studies reviewed 
"Overall, these studies suggest that the self report method possesses  ",Summarising the studies reviewed 
"Overall, these studies suggest that both X and Y play a role in the development of   ",Summarising the studies reviewed 
"Overall, these studies illustrate how    ",Summarising the studies reviewed 
"Overall, these studies illustrate the role of   ",Summarising the studies reviewed 
"Overall, these studies illustrate the flexibility of   ",Summarising the studies reviewed 
"Overall, these studies illustrate the heterogeneity of   ",Summarising the studies reviewed 
"Overall, these studies illustrate just how important X is in   ",Summarising the studies reviewed 
"Overall, these studies highlight the need for  ",Summarising the studies reviewed 
"Overall, these studies highlight the complexity of   ",Summarising the studies reviewed 
"Overall, these studies highlight the positive aspects of   ",Summarising the studies reviewed 
"Overall, these studies highlight the beneficial effects of   ",Summarising the studies reviewed 
"Overall, these studies highlight the unique relationship between   ",Summarising the studies reviewed 
"Overall, these studies indicate a link between   ",Summarising the studies reviewed 
"Overall, these studies consistently indicate that   ",Summarising the studies reviewed 
"Overall, these studies clearly indicate the importance of   ",Summarising the studies reviewed 
"Overall, these studies indicate that Xs are often important predictors of   ",Summarising the studies reviewed 
"Overall, these studies indicate that the X has only a slight impact, if any, on   ",Summarising the studies reviewed 
"Overall, these studies provide mixed evidence for   ",Summarising the studies reviewed 
"Overall, these studies provide converging evidence for   ",Summarising the studies reviewed 
"Overall, these studies provide evidence for the usefulness of   ",Summarising the studies reviewed 
"Overall, these studies provide strong evidence for the efficacy of  ",Summarising the studies reviewed 
"Overall, these studies provide reasonably consistent evidence of an association between  ",Summarising the studies reviewed 
"Overall, these studies show weak evidence of  ",Summarising the studies reviewed 
"Overall, these studies show that Xs may serve as important  ",Summarising the studies reviewed 
"Overall, these studies show a modest correlation between X and Y. ",Summarising the studies reviewed 
"Overall, these studies show that X is caused by a complex system of   ",Summarising the studies reviewed 
"Overall, these studies show that a change from  X to Y is usually associated with   ",Summarising the studies reviewed 
The previous section has shown that   ,Summarising the literature review section 
"In conclusion, these studies show that   ",Summarising the literature review section 
The evidence reviewed here seems to suggest    ,Summarising the literature review section 
"To conclude this section, the literature identifies   ",Summarising the literature review section 
This review has demonstrated the shortcomings of   ,Summarising the literature review section 
"In summary, it has been shown from this review that   ",Summarising the literature review section 
"Taken together, these studies support the notion that   ",Summarising the literature review section 
"In summary, little is known about the interrelationships between   ",Summarising the literature review section 
This section has attempted to provide a brief summary of the literature relating to   ,Summarising the literature review section 
Many researchers have utilized X to measure   ,Describing previously used methods 
One of the most well known tools for assessing   ,Describing previously used methods 
"Traditionally, X has been assessed by measuring  ",Describing previously used methods 
A number of techniques have been developed to   ,Describing previously used methods 
Different methods have been proposed to classify   ,Describing previously used methods 
X is the main non invasive method used to determine  ,Describing previously used methods 
Different authors have measured X in a variety of ways. ,Describing previously used methods 
Previous studies have based their criteria for selection on  ,Describing previously used methods 
X is one of the most common procedures for determining   ,Describing previously used methods 
Several methods currently exist for the measurement of Xs ,Describing previously used methods 
There are three main types of study design used to identify   ,Describing previously used methods 
The use of life story data has a relatively long tradition within X. ,Describing previously used methods 
Recent advances in X methods have facilitated investigation of   ,Describing previously used methods 
There are a number of instruments available for measuring the   ,Describing previously used methods 
X and Y are currently the most popular methods for investigating   ,Describing previously used methods 
"Recently, simpler and more rapid tests of X have been developed. ",Describing previously used methods 
"In most recent studies, X has been measured in four different ways. ",Describing previously used methods 
The use of qualitative case studies is a well established approach in  ,Describing previously used methods 
Xs have been used in the past to investigate the mechanical properties of   ,Describing previously used methods 
Case studies have been long established in X to present detailed analysis of  ,Describing previously used methods 
This test is widely available and has been used in many investigational studies. ,Describing previously used methods 
"To date, various methods have been developed and introduced to measure X. ",Describing previously used methods 
"In recent years, two different approaches have attempted to account for the   ",Describing previously used methods 
The methods for measuring X have varied somewhat across this research area. ,Describing previously used methods 
"In recent years, molecular methods have been utilised for the quantification of   ",Describing previously used methods 
A variety of methods are used to assess X. Each has its advantages and drawbacks. ,Describing previously used methods 
More recent examples of narrative studies within X can be found in the work of Smith  2010 . ,Describing previously used methods 
Two of the most common methods for estimating X are the use of Y and the measurement of Z. ,Describing previously used methods 
Various methods have been  utilized to  assess   ,Describing previously used methods 
Different methods have been  utilized to  test for  ,Describing previously used methods 
Various methods have been  proposed to identify   ,Describing previously used methods 
Different methods have been  proposed to capture   ,Describing previously used methods 
Various methods have been  employed to  measure   ,Describing previously used methods 
Different methods have been  employed to  quantify   ,Describing previously used methods 
Different methods have been  employed to  determine   ,Describing previously used methods 
Various methods have been  proposed to investigate   ,Describing previously used methods 
A major advantage of X is that   ,Giving reasons why a particular method was adopted  
X based methods provide a means of   ,Giving reasons why a particular method was adopted  
A case study approach was used to allow a  ,Giving reasons why a particular method was adopted  
This method is particularly useful in studying  ,Giving reasons why a particular method was adopted  
A quantitative approach was employed since  ,Giving reasons why a particular method was adopted  
Qualitative methods offer an effective way of  ,Giving reasons why a particular method was adopted  
The design of the questionnaires was based on  ,Giving reasons why a particular method was adopted  
The X method is one of the more practical ways of  ,Giving reasons why a particular method was adopted  
The semi structured approach was chosen because  ,Giving reasons why a particular method was adopted  
The X approach has a number of attractive features   ,Giving reasons why a particular method was adopted  
The advantages of Xs are that they are simple to deliver. ,Giving reasons why a particular method was adopted  
The second advantage of using the multivariate method is  ,Giving reasons why a particular method was adopted  
The study uses qualitative analysis in order to gain insights into  ,Giving reasons why a particular method was adopted  
One advantage of the X analysis is that it avoids the problem of  ,Giving reasons why a particular method was adopted  
Another advantage of using computer simulations is that it allows   ,Giving reasons why a particular method was adopted  
Continuous sampling methods have a number of advantages over   ,Giving reasons why a particular method was adopted  
The collaborative nature of the focus group offers another advantage   ,Giving reasons why a particular method was adopted  
It was decided that the best method to adopt for this investigation was to  ,Giving reasons why a particular method was adopted  
Qualitative methods can be more useful for identifying and characterising   ,Giving reasons why a particular method was adopted  
Many of the distributions were not normal so non parametric signed rank tests were run. ,Giving reasons why a particular method was adopted  
It was considered that quantitative measures would usefully supplement and extend the  ,Giving reasons why a particular method was adopted  
"In a recent article, P  argues that case studies offer   ",Giving reasons why a particular method was adopted  
P et al.   identify several advantages of the case study  ,Giving reasons why a particular method was adopted  
Case studies are seen as useful when the contextual conditions of the research are   ,Giving reasons why a particular method was adopted  
"According to P, semi structured interviews have a wide spread popularity in   ",Giving reasons why a particular method was adopted  
The sensitivity of the X technique has been demonstrated in a report by P et al. ,Giving reasons why a particular method was adopted  
P  points out that there is a role for both qualitative and quantitative approaches in   ,Giving reasons why a particular method was adopted  
A case study approach was  used to ensure that   ,Giving reasons why a particular method was adopted  
A case study approach was  chosen to help understand how   ,Giving reasons why a particular method was adopted  
A case study approach was  used to allow a deeper insight into   ,Giving reasons why a particular method was adopted  
A case study approach was  used to conduct this exploratory study. ,Giving reasons why a particular method was adopted  
A case study approach was  chosen to evaluate the effectiveness of   ,Giving reasons why a particular method was adopted  
A case study approach was  chosen to gain a detailed understanding of    ,Giving reasons why a particular method was adopted  
A case study approach was  adopted to determine the factors that affect  ,Giving reasons why a particular method was adopted  
A case study approach was  used to assess the management practices of   ,Giving reasons why a particular method was adopted  
A case study approach was  adopted to obtain further in depth information on the  ,Giving reasons why a particular method was adopted  
A case study approach was  used to capture the complexities of the phenomenon. ,Giving reasons why a particular method was adopted  
"A case study approach was  adopted to provide rounded, detailed illustrations of the   ",Giving reasons why a particular method was adopted  
A key advantage of using z scores is that   ,Giving reasons why a particular method was adopted  
The major advantage of using a rating scale is that   ,Giving reasons why a particular method was adopted  
The distinct advantage of using focus groups is that   ,Giving reasons why a particular method was adopted  
An obvious advantage of using self report data is that   ,Giving reasons why a particular method was adopted  
One practical advantage of using secondary data is that   ,Giving reasons why a particular method was adopted  
One potential advantage of using longitudinal data is that   ,Giving reasons why a particular method was adopted  
An additional advantage of using retrospective data is that   ,Giving reasons why a particular method was adopted  
One important advantage of using regression analysis is that   ,Giving reasons why a particular method was adopted  
A significant advantage of using natural speech data is that   ,Giving reasons why a particular method was adopted  
A key advantage of using semi structured interviews  is that   ,Giving reasons why a particular method was adopted  
The major advantage of using a convenience sample is that   ,Giving reasons why a particular method was adopted  
The distinct advantage of using a case study approach is that   ,Giving reasons why a particular method was adopted  
An obvious advantage of using a comparative approach is that   ,Giving reasons why a particular method was adopted  
One practical advantage of using a mixed method approach is that   ,Giving reasons why a particular method was adopted  
One potential advantage of using a multidimensional approach is that   ,Giving reasons why a particular method was adopted  
An additional advantage of using regression analysis is that   ,Giving reasons why a particular method was adopted  
One important advantage of using a mixed method approach is that   ,Giving reasons why a particular method was adopted  
A significant advantage of using self report data is that   ,Giving reasons why a particular method was adopted  
A disadvantage of many cohort studies is that   ,Giving reasons why a particular method was rejected 
A major problem with the experimental method is that  ,Giving reasons why a particular method was rejected 
The main disadvantage of the experimental method is that  ,Giving reasons why a particular method was rejected 
"However, there are certain drawbacks associated with the use of  ",Giving reasons why a particular method was rejected 
"However, this method clearly is not valid for analysing long term trends in   ",Giving reasons why a particular method was rejected 
There are obvious difficulties in accepting the reliability of self report information. ,Giving reasons why a particular method was rejected 
There are certain problems with the use of focus groups. One of these is that there is less  ,Giving reasons why a particular method was rejected 
The cohort was divided into two groups according to  ,Describing the characteristics of the sample 
A random sample of patients with  was recruited from  ,Describing the characteristics of the sample 
Articles were searched from January 1965 until April 2014. ,Describing the characteristics of the sample 
Forty seven students studying X were recruited for this study. ,Describing the characteristics of the sample 
A systematic literature review was conducted of studies that  ,Describing the characteristics of the sample 
"Just over half the sample  53   was female, of whom 69  were  ",Describing the characteristics of the sample 
"Of the initial cohort of 123 students, 66 were female and 57 male. ",Describing the characteristics of the sample 
Eligible women who matched the selection criteria were identified by   ,Describing the characteristics of the sample 
Only children aged between 10 and 15 years were included in the study. ,Describing the characteristics of the sample 
The participants were divided into two groups based on their performance on  ,Describing the characteristics of the sample 
"Two groups of subjects were interviewed, namely X and Y. The first group were  ",Describing the characteristics of the sample 
The project used a convenience sample of 32 first year modern languages students. ,Describing the characteristics of the sample 
All of the participants were aged between 18 and 19 at the beginning of the study ,Describing the characteristics of the sample 
All studies described as using some sort of X procedure were included in the analysis. ,Describing the characteristics of the sample 
"Participants were recruited from 15 clinics across , covering urban and rural areas  ",Describing the characteristics of the sample 
"The initial sample consisted of 200 students, 75 of whom belonged to minority groups. ",Describing the characteristics of the sample 
Semi structured interviews were conducted with 17 male offenders with a mean age of 38 years. ,Describing the characteristics of the sample 
Indicating criteria for selection or inclusion ,Indicating criteria for selection or inclusion 
Criteria for selecting the subjects were as follows  ,Indicating criteria for selection or inclusion 
Publications were only included in the analysis if .  ,Indicating criteria for selection or inclusion 
"To identify X, the following parameters were used   ",Indicating criteria for selection or inclusion 
The area of study was chosen for its relatively small  ,Indicating criteria for selection or inclusion 
Primary inclusion criteria for the X participants were   ,Indicating criteria for selection or inclusion 
Eligibility criteria required individuals to have received  ,Indicating criteria for selection or inclusion 
Five individuals were excluded from the study on the basis of  ,Indicating criteria for selection or inclusion 
A small sample was chosen because of the expected difficulty of obtaining  ,Indicating criteria for selection or inclusion 
The subjects were selected on the basis of a degree of homogeneity of their  ,Indicating criteria for selection or inclusion 
A comparison group of 12 male subjects without any history of X was drawn from a pool of  ,Indicating criteria for selection or inclusion 
X was prepared according to the procedure used by Patel et al.  1957 . ,Indicating a specific method 
The synthesis of X was done according to the procedure of Smith  1973 . ,Indicating a specific method 
"X was synthesised using the same method that was detailed for Y, using  ",Indicating a specific method 
Samples were analysed for X as previously reported by Smith et al.  2012 . ,Indicating a specific method 
Analysis was based on the conceptual framework proposed by Smith et al.  2002 . ,Indicating a specific method 
This compound was prepared by adapting the procedure used by Zhao et al.  1990 . ,Indicating a specific method 
The data were normalised using  ,Describing the process  typical verbs in the passive form 
Ethical approval was obtained from  ,Describing the process  typical verbs in the passive form 
Drugs were administered by icv injection   ,Describing the process  typical verbs in the passive form 
Descriptive data were generated for all variables. ,Describing the process  typical verbs in the passive form 
The procedures of this study were approved by  ,Describing the process  typical verbs in the passive form 
Prompts were used as an aid to question two so that  ,Describing the process  typical verbs in the passive form 
Data were collected using semi structured interviews in    ,Describing the process  typical verbs in the passive form 
The experiments were run using custom software written in ,Describing the process  typical verbs in the passive form 
Two sets of anonymised questionnaires were completed by  ,Describing the process  typical verbs in the passive form 
A total of 256 samples were taken from 52 boreholes  Figure 11 . ,Describing the process  typical verbs in the passive form 
 The solution was washed three times with deionized water and  ,Describing the process  typical verbs in the passive form 
Significance levels were set at the 1  level using the student t test. ,Describing the process  typical verbs in the passive form 
Data management and analysis were performed using SPSS 16.0  2010 . ,Describing the process  typical verbs in the passive form 
Published studies were identified using a search strategy developed in  ,Describing the process  typical verbs in the passive form 
Data were gathered from multiple sources at various time points during  ,Describing the process  typical verbs in the passive form 
Injection solutions were coded by a colleague to reduce experimenter bias. ,Describing the process  typical verbs in the passive form 
The pilot interviews were conducted informally by the trained interviewer  ,Describing the process  typical verbs in the passive form 
Article references were searched further for additional relevant publications. ,Describing the process  typical verbs in the passive form 
The subjects were asked to pay close attention to the characters whenever  ,Describing the process  typical verbs in the passive form 
The experiments were conducted over the course of the growing period from  ,Describing the process  typical verbs in the passive form 
"Blood samples were obtained with consent, from 256 Caucasian male patients  ",Describing the process  typical verbs in the passive form 
Independent tests were carried out on the X and Y scores for the four years from  ,Describing the process  typical verbs in the passive form 
This experiment was repeated under conditions in which the poor signal noise ratio was improved. ,Describing the process  typical verbs in the passive form 
The mean score for the two trials was subjected to multivariate analysis of variance to determine  ,Describing the process  typical verbs in the passive form 
The participants were asked  to comment on   ,Describing the process  typical verbs in the passive form 
The participants were asked  to complete two tasks. ,Describing the process  typical verbs in the passive form 
The participants were asked  whether they believed   ,Describing the process  typical verbs in the passive form 
The participants were asked  to provide feedback on   ,Describing the process  typical verbs in the passive form 
The participants were asked  a variety of questions about   ,Describing the process  typical verbs in the passive form 
The participants were asked  to describe an instance when   ,Describing the process  typical verbs in the passive form 
The participants were asked  to explain what happened during   ,Describing the process  typical verbs in the passive form 
The participants were asked  a series of open ended questions that   ,Describing the process  typical verbs in the passive form 
The participants were asked  to describe what had happened when   ,Describing the process  typical verbs in the passive form 
